country_name,"Coal, Peat and Manufactured Gases",Geothermal,Natural Gas,Not Specified,Oil and Petroleum Products,Other Renewables
Argentina,-0.10878636500425339,-0.6215252546962273,0.782972478857102,-0.84714935910207,1.214428578079043,-0.30472566065261397
Australia,1.0083844622390172,-0.6215252546962273,0.6453765452677107,-0.84714935910207,0.8006536067818008,-0.30472566065261397
Austria,0.010444788872475661,-0.6126432597431136,0.13071140390929353,0.047577024223984736,0.25728008700132793,-0.30472566065261397
Belgium,-0.0018232415483212154,-0.6215252546962273,0.38764312749644825,1.0419520134500657,-0.5149554016668751,-0.30472566065261397
Brazil,0.5076988303087078,-0.6215252546962273,0.5660855964680882,-0.84714935910207,1.0102155196384182,-0.30472566065261397
Bulgaria,0.4102023737794891,-0.6215252546962273,-0.2931522566054402,0.21970875658654077,-0.1833114478576377,-0.30472566065261397
Canada,0.7009420986461952,-0.6215252546962273,0.8156570055634905,1.100539658947331,0.8202446787459374,-0.30472566065261397
Chile,0.497379033779609,1.2094082966998678,0.37577849661258034,-0.84714935910207,0.09130912441278607,-0.30472566065261397
China,1.935657019154267,0.8008509716436643,1.196953458926609,-0.84714935910207,1.1763546803665497,1.608907683840178
Colombia,0.41188884680502863,-0.6215252546962273,0.36868331236024837,-0.84714935910207,0.7382208752211066,-0.30472566065261397
Costa Rica,-1.80844567504656,1.5683305186763177,-2.4629383558288964,-0.84714935910207,-1.0040189981419503,-0.30472566065261397
Croatia,-0.09222876557367914,0.23951291321035528,-0.07138215823603951,-0.84714935910207,-0.263589931414497,-0.30472566065261397
Cyprus,-1.80844567504656,-0.6215252546962273,-2.4629383558288964,-0.84714935910207,0.8161572300669271,-0.30472566065261397
Czech Republic,0.6547980081760294,-0.6215252546962273,-0.09563985500426285,0.6488915061586771,-0.5314693336987812,-0.30472566065261397
Denmark,-0.0966105689783631,-0.6215252546962273,-0.48005427609928975,-0.84714935910207,-0.22252288868952536,-0.30472566065261397
Estonia,0.07007386452267739,-0.6215252546962273,-1.522012446097802,-0.84714935910207,-0.9666856658324322,-0.30472566065261397
Finland,0.1272537528637549,-0.6215252546962273,-0.5607062938933209,0.8849088836919904,-0.45220006734216994,-0.30472566065261397
France,0.08308052570599928,0.7520568007488408,0.5429101595948386,1.1780805367370801,0.9634624351905212,4.206022255774139
Germany,1.0235344610057342,0.8970312507353558,0.8292528536684873,1.462783755728056,0.7836891041776216,-0.30472566065261397
Greece,0.20817553750474024,-0.6215252546962273,0.3514868388242104,-0.84714935910207,0.6508874080485829,-0.30472566065261397
Hungary,0.06365822906992982,0.04570554721572209,0.11969749350719429,0.7413636996664161,-0.762804664268173,-0.30472566065261397
Iceland,-1.80844567504656,1.9797961612499129,-2.4629383558288964,-0.84714935910207,-1.466341188595605,-0.30472566065261397
India,1.5856319110010915,-0.6215252546962273,0.7898254493757344,-0.84714935910207,0.9713858485393719,-0.30472566065261397
Ireland,-0.13455677506976682,-0.6215252546962273,0.3405970332778566,-0.84714935910207,-0.13624600027607514,-0.30472566065261397
Italy,0.4843641495931772,1.9583426188283346,0.9605583298417963,1.173202174830018,0.9798706153467678,-0.30472566065261397
Japan,1.2209969479165428,1.7824803373561808,1.235636570026321,2.3208756469720635,1.4890081029940043,-0.30472566065261397
Korea,1.1159422963453924,-0.6215252546962273,1.0560502311435742,1.880233469876954,0.8791590064906581,4.3807807325236094
Latvia,-1.80844567504656,-0.6215252546962273,-0.3661568889292472,-0.84714935910207,-2.027252607961753,-0.30472566065261397
Lithuania,-1.80844567504656,-0.6215252546962273,-0.5655738856141378,0.17975118202236062,-0.2159878137894347,-0.30472566065261397
Luxembourg,-1.80844567504656,-0.6215252546962273,-1.1819838367801618,-0.84714935910207,-2.027252607961753,-0.30472566065261397
Malta,-1.80844567504656,-0.6215252546962273,-0.24587225340704252,-0.84714935910207,-1.0441818341053495,-0.30472566065261397
Mexico,0.6517098901697019,1.8876143954068505,1.1622132306179571,1.6070354930683208,1.7248407400598071,-0.30472566065261397
Netherlands,0.41867763197510005,-0.6215252546962273,0.6659862889899785,1.1700833844533878,0.47999352470527107,-0.30472566065261397
New Zealand,0.00764069299404303,2.0606892015473703,-0.10379000469808505,0.37735072543319464,-1.7488659539246354,-0.30472566065261397
North Macedonia,0.08295695015816022,-0.6215252546962273,-0.37535349408528923,-0.84714935910207,0.1026709947992148,-0.30472566065261397
Norway,-0.43524029877940323,-0.6215252546962273,-2.4629383558288964,1.076988599143601,0.17207156266020585,-0.30472566065261397
Peru,-0.2996960857110945,-0.6215252546962273,0.5211711992984318,-0.84714935910207,0.1354389212622766,-0.30472566065261397
Poland,0.9497207697371598,-0.6215252546962273,0.3608038268415669,0.5503679936564639,-2.027252607961753,-0.30472566065261397
Portugal,-1.80844567504656,0.9249375570533872,0.2576645397734169,-0.84714935910207,0.39313181111458984,-0.30472566065261397
Serbia,0.5989392151266091,-0.6215252546962273,-0.29217301086985625,-0.84714935910207,-1.336653122105741,-0.30472566065261397
Slovak Republic,-0.04606786343272724,-0.6215252546962273,-0.24275130691208757,0.310723338832459,-0.024382269739594585,-0.30472566065261397
